"id";"business_id";"business_name";"business_address";"business_city";"business_state";"business_postal_code";"business_latitude";"business_longitude";"business_phone_number";"inspection_id";"inspection_date";"inspection_score";"inspection_type";"violation_id";"violation_description";"risk_category";"createdAt";"updatedAt"
1;"5860";"June Jordan";"325 La Grande Ave";"San Francisco";"CA";"94112";"37.719719";"-122.425581";"+14155464547";"5860_20190214";"10/25/2018 12:00:00 AM";"100";"Routine - Unscheduled";"";"";"";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
2;"69237";"SPRESSA";"51 Cambon Dr";"San Francisco";"CA";"94132";"37.718254";"-122.474427";"+14155231520";"69237_20170331";"12/19/2017 12:00:00 AM";"100";"Routine - Unscheduled";"";"";"";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
3;"5605";"CALIF PACIFIC MEDICAL CTR - CART";"2333 BUCHANAN St";"San Francisco";"CA";"94115";"37.791426";"-122.431039";"+14155923221";"5605_20180516";"10/05/2016 12:00:00 AM";"100";"Routine - Unscheduled";"";"";"";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
4;"1296";"TAQUERIA EL BUEN SABOR";"699 VALENCIA St";"San Francisco";"CA";"94112";"37.761743";"-122.421492";"+14155588745";"1296_20160927";"09/27/2016 12:00:00 AM";"88";"Routine - Unscheduled";"1296_20160927_103120";"Moderate risk food holding temperature";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
5;"5805";"ORTEGA ELEMENTARY SCHOOL";"400 Sargent St";"San Francisco";"CA";"94132";"37.716156";"-122.466248";"+14155464726";"5805_20170202";"09/19/2017 12:00:00 AM";"96";"Routine - Unscheduled";"5805_20170202_103129";"Insufficient hot water or running water";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
6;"63619";"Subway Sandwiches";"77 Van Ness Ave #100";"San Francisco";"CA";"94102";"37.776133";"-122.419484";"+14155981866";"63619_20170919";"09/19/2017 12:00:00 AM";"92";"Routine - Unscheduled";"63619_20170919_103154";"Unclean or degraded floors walls or ceilings";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
7;"71287";"Glaze Teriyaki";"1946 FILLMORE St";"San Francisco";"CA";"94115";"37.787778";"-122.433557";"+14155779878";"71287_20160912";"09/12/2016 12:00:00 AM";"82";"Routine - Unscheduled";"71287_20160912_103109";"Unclean or unsanitary food contact surfaces";"High Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
8;"14971";"San Francisco Public Montessori";"2340 Jackson St";"San Francisco";"CA";"94115";"37.792628";"-122.433514";"+14155743768";"14971_20170322";"11/02/2018 12:00:00 AM";"98";"Routine - Unscheduled";"14971_20170322_103162";"Other low risk violation";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
9;"68560";"Wow Naan-N-Curry";"642 Irving St";"San Francisco";"CA";"94122";"37.764128";"-122.464961";"+14155667225";"68560_20180316";"09/12/2016 12:00:00 AM";"90";"Routine - Unscheduled";"68560_20180316_103157";"Food safety certificate or food handler card not available";"Low Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
10;"2347";"LAS TINAJAS";"2338 MISSION St";"San Francisco";"CA";"94110";"37.759567";"-122.419185";"+14155699933";"2347_20181107";"11/07/2018 12:00:00 AM";"86";"Routine - Unscheduled";"2347_20181107_103119";"Inadequate and inaccessible handwashing facilities";"Moderate Risk";"2019-05-20 10:21:11.406";"2019-05-20 10:21:11.406"
